line,text,State,ShanDiv
1,child support; administrative order; enforcement,Arizona,1
2,school capital finance revisions,Arizona,1
3,administrative decisions; scope of review,Arizona,1
4,legal tender exchange; tax effect,Arizona,1
5,workers' compensation; occupational diseases; cancer,Arizona,1
6,legislators; mileage rate,Arizona,1
7,charter schools; rulemaking exemption,Arizona,1
8,vehicle registration; nonresidents; penalty,Arizona,1
9,TANF; SNAP; finger imaging; repeal,Arizona,1
10,state retirement; waiting period; repeal,Arizona,1
1,cash assistance; children,Arizona,1
2,ignition interlock device; regulation; installers,Arizona,1
3,retail TPT; bad debt deduction,Arizona,1
4,high school students; course time,Arizona,1
5,real estate appraisal,Arizona,1
6,technical correction; health services; fees,Arizona,1
7,housing department; conforming changes,Arizona,1
8,Arizona competes fund; microenterprises,Arizona,1
9,conservation easement; in lieu payments,Arizona,1
10,schools; specially designed instruction,Arizona,1
1,industrial hemp; licensing,Arizona,1
2,permanent guardianship; dependency proceedings; reunification,Arizona,1
3,newborn screening; fees,Arizona,1
4,public benefits; fee waivers; requirements,Arizona,1
5,school-sponsored media; student journalists,Arizona,1
6,revitalization districts; county participation,Arizona,1
7,road improvement districts; financing,Arizona,1
8,county improvement districts; assessment; contribution,Arizona,1
9,schools; illegal substances; notification,Arizona,1
10,workers' compensation; firefighters; heart-related cases,Arizona,1
1,prepaid legal insurance; capital requirements,Arizona,1
2,governor appointees; criminal records checks,Arizona,1
3,university infrastructure capital financing; appropriations.,Arizona,1
4,radiation regulatory agency; DHS; transfer,Arizona,1
5,correctional facilities; community notification,Arizona,1
6,repeal; state boards and committees,Arizona,1
7,revenues; budget reconciliation; 2017-2018,Arizona,1
8,higher education; budget reconciliation; 2017-2018,Arizona,1
9,criminal justice; budget reconciliation; 2017-2018.,Arizona,1
10,environment; budget reconciliation; 2017-2018,Arizona,1
1,human services; budget reconciliation; 2017-2018,Arizona,1
2,capital outlay; appropriations; 2017-2018,Arizona,1
3,general appropriations act; 2017-2018,Arizona,1
4,budget procedures; budget reconciliation; 2017-2018,Arizona,1
5,K-12 education; budget reconciliation; 2017-2018.,Arizona,1
6,health; budget reconciliation; 2017-2018,Arizona,1
7,rural STEM program; tax credits,Arizona,1
8,dental board; expenditure limitation; repeal,Arizona,1
9,Arizona silver-haired legislature,Arizona,1
10,technical correction; tax debt; enforcement,Arizona,1
1,technical correction; tax refund account,Arizona,1
2,technical correction; land department; seal,Arizona,1
3,technical correction; Arbor day,Arizona,1
4,technical correction; taxes; intangible income,Arizona,1
5,postsecondary education; veterans; transfer credits,Arizona,1
6,ASRS; contributions; adjustments,Arizona,1
7,state hospital; property leases,Arizona,1
8,regents; officers; technical correction,Arizona,1
9,multi-county water district; directors; elections,Arizona,1
10,information technology; consolidated purchasing,Arizona,1
1,technical correction; light pollution,Arizona,1
2,groundwater permits; technical correction,Arizona,1
3,sovereign authority; commandeering; prohibition; exception,Arizona,1
4,ASRS; reinstatement; contribution amount,Arizona,1
5,municipal zoning; rezoning protests,Arizona,1
6,technical correction; state museum,Arizona,1
7,technical correction; materials; resident preference,Arizona,1
8,precinct committeemen; term of office,Arizona,1
9,riot; planning; participation; racketeering,Arizona,1
10,courthouse security; fund,Arizona,1
1,presidential preference election; reimbursement,Arizona,1
2,oxygenated fuel standards; formula.,Arizona,1
